,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,Cape Town,ZA,-33.93,18.42,55.99,62,75,20.8,1601526849
1,Mushie,CD,-3.02,16.9,71.73,94,100,2.37,1601527074
3,Mar del Plata,AR,-38.0,-57.56,55.0,81,62,9.17,1601527075
4,Bambous Virieux,MU,-20.34,57.76,75.99,78,20,6.93,1601527075
5,Pauini,BR,-7.71,-66.98,70.92,98,100,1.5,1601527076
6,Hithadhoo,MV,-0.6,73.08,82.87,71,99,3.51,1601527076
7,Inongo,CD,-1.95,18.27,69.78,94,99,5.06,1601527076
9,Castro,BR,-24.79,-50.01,63.81,94,29,7.07,1601527077
10,Leningradskiy,RU,69.38,178.42,32.7,90,100,0.72,1601527077
11,Ribeira Grande,PT,38.52,-28.7,68.76,80,43,8.3,1601527078
12,Chui,UY,-33.7,-53.46,61.52,95,0,4.23,1601527078
13,Vaini,TO,-21.2,-175.2,73.4,94,75,11.41,1601527078
14,Rikitea,PF,-23.12,-134.97,72.72,81,70,25.12,1601526938
15,Isiro,CD,2.77,27.62,68.14,98,100,0.47,1601527079
16,Ribeira Brava,PT,32.65,-17.07,68.0,82,75,6.93,1601527079
17,Puerto Ayora,EC,-0.74,-90.35,66.99,88,94,4.0,1601527079
18,Korla,CN,41.76,86.15,60.96,27,100,2.57,1601527080
19,Qasigiannguit,GL,68.82,-51.19,19.4,57,0,13.87,1601527080
20,Albany,US,42.6,-73.97,55.0,62,0,8.66,1601526902
21,Zaragoza,ES,41.66,-0.88,57.99,71,66,4.7,1601527081
22,Statesboro,US,32.45,-81.78,55.4,93,1,3.31,1601527081
23,Hobart,AU,-42.88,147.33,59.0,44,75,12.75,1601527019
24,Punta Arenas,CL,-53.15,-70.92,28.4,86,20,16.11,1601527082
25,Port Alfred,ZA,-33.59,26.89,60.71,73,93,11.59,1601527082
26,Kahului,US,20.89,-156.47,82.4,65,40,10.29,1601526954
27,Hermanus,ZA,-34.42,19.23,52.0,91,100,1.99,1601527083
28,Kānker,IN,20.27,81.49,82.92,55,92,4.47,1601527023
29,Qaanaaq,GL,77.48,-69.36,10.99,77,0,7.76,1601527084
30,George Town,MY,5.41,100.34,87.8,66,20,5.82,1601527084
31,Broken Hill,AU,-31.95,141.43,73.4,40,60,16.11,1601527085
32,Atuona,PF,-9.8,-139.03,78.42,77,3,21.88,1601527085
33,Great Yarmouth,GB,52.61,1.73,55.99,99,100,1.01,1601526809
34,Thompson,CA,55.74,-97.86,33.8,93,75,8.05,1601527086
35,Maraã,BR,-1.83,-65.37,72.84,99,95,2.95,1601527086
36,Alexandria,EG,31.22,29.96,73.4,78,40,6.93,1601527086
37,Tiruchchendur,IN,8.48,78.12,89.6,55,20,9.17,1601527087
38,Ahipara,NZ,-35.17,173.17,57.6,65,47,3.67,1601527087
39,Kavaratti,IN,10.57,72.64,82.4,78,40,4.7,1601527087
40,Tucuruí,BR,-3.77,-49.67,74.08,90,42,4.76,1601527088
41,Aklavik,CA,68.22,-135.01,35.6,93,75,10.29,1601526843
42,Cayenne,GF,4.93,-52.33,78.8,94,40,1.12,1601527089
43,Yulara,AU,-25.24,130.99,93.2,14,0,12.75,1601527089
44,Santa Cruz de la Sierra,BO,-17.8,-63.17,80.6,69,0,14.99,1601527089
45,Kapaa,US,22.08,-159.32,82.4,69,20,6.93,1601527090
46,Mataura,NZ,-46.19,168.86,62.01,51,92,3.0,1601527090
47,Jamestown,US,42.1,-79.24,60.01,81,90,16.11,1601526992
48,Tasiilaq,GL,65.61,-37.64,41.0,38,44,11.41,1601527091
49,Medicine Hat,CA,50.05,-110.67,42.01,65,1,3.36,1601527091
50,Butaritari,KI,3.07,172.79,82.04,73,5,16.42,1601527092
51,Longyearbyen,SJ,78.22,15.64,35.6,93,75,4.7,1601527092
52,Dikson,RU,73.51,80.55,40.75,96,100,18.32,1601527092
53,Atherton,GB,53.52,-2.49,50.0,98,92,5.93,1601527093
54,Ranong,TH,9.97,98.63,78.8,94,75,4.7,1601527093
