Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
-46.6,168.33,63.0,45,100,3.0,1601520923
22.08,-159.32,84.2,66,40,5.82,1601520990
-53.15,-70.92,32.0,90,20,18.34,1601520990
3.07,172.79,82.11,73,0,16.51,1601520749
-54.8,-68.3,30.2,86,90,27.51,1601520991
-33.65,115.33,64.0,73,100,3.0,1601520992
-51.62,-69.22,33.8,69,20,12.75,1601520992
45.63,85.18,50.68,45,75,4.27,1601520992
73.51,80.55,40.71,96,100,20.27,1601520993
-38.0,-57.56,55.0,87,91,3.36,1601520908
40.6,-124.16,60.01,100,90,5.82,1601520977
20.22,-96.78,71.64,62,23,2.91,1601520994
38.47,106.27,59.94,32,34,5.57,1601520994
38.89,-76.51,64.0,72,1,5.82,1601520995
-9.8,-139.03,78.42,76,2,21.43,1601520995
6.12,81.12,82.4,88,40,5.82,1601520995
-24.87,113.63,71.6,73,0,19.46,1601520996
3.66,31.72,63.07,100,66,1.99,1601520996
40.03,20.26,61.0,71,0,2.89,1601520996
-21.2,-175.2,77.0,88,40,13.87,1601520997
42.6,-73.97,59.0,99,0,8.97,1601520903
2.33,37.99,60.58,95,63,16.67,1601520997
66.42,112.4,26.6,86,90,4.47,1601520998
-33.59,26.89,60.08,73,75,12.55,1601520998
45.36,36.48,66.49,69,13,2.59,1601520998
37.42,66.04,60.19,39,0,0.56,1601520999
77.48,-69.36,10.9,76,0,7.34,1601520912
27.98,-114.06,81.12,47,0,11.99,1601520999
-23.12,-134.97,72.28,82,85,24.7,1601521000
48.83,58.14,51.49,62,1,11.74,1601521000
70.37,31.11,51.8,87,75,8.05,1601521000
-16.48,-151.75,78.91,78,25,24.54,1601521001
39.05,-27.98,69.21,79,58,10.29,1601521001
69.45,-133.04,37.4,93,90,16.11,1601521001
-2.57,150.8,84.13,72,89,5.93,1601521002
-34.53,20.04,53.6,76,100,18.34,1601521002
22.89,-109.91,84.0,78,5,4.7,1601520754
14.3,-91.92,66.0,99,100,8.34,1601521003
-0.6,73.08,82.96,72,100,4.72,1601521003
71.69,128.87,27.1,94,98,23.87,1601521003
19.05,73.95,73.72,79,35,4.68,1601521004
64.5,-165.41,48.99,61,90,19.46,1601521004
68.82,-51.19,19.4,57,6,6.93,1601521005
-21.36,55.77,69.8,64,75,8.05,1601521005
16.86,-99.89,82.4,78,75,6.93,1601520773
27.37,87.2,79.29,57,3,1.19,1601521005
64.89,-23.71,38.95,75,100,1.57,1601521006
-3.37,135.48,86.18,63,80,4.92,1601520907
-24.79,-50.01,63.34,90,1,6.71,1601521006
-19.55,169.27,80.6,65,75,11.41,1601521006
-28.47,-65.79,57.0,40,8,1.99,1601521007
-34.0,24.73,51.01,89,99,1.01,1601521007
38.4,-96.18,60.8,38,1,5.82,1601521007
-46.19,168.86,63.0,45,97,3.0,1601521008
66.04,-17.34,39.2,86,90,14.99,1601521008
-19.61,34.74,69.8,94,20,3.36,1601521008
22.31,89.79,86.68,75,98,7.61,1601521009
-6.09,-35.21,75.2,88,40,4.7,1601521009
-2.88,108.27,81.25,76,98,5.99,1601521009
50.27,-5.05,51.8,81,5,14.99,1601520718
-17.71,-39.25,72.28,88,1,5.57,1601521010
35.73,140.83,68.0,93,75,4.7,1601521010
38.52,-28.7,69.03,80,55,11.86,1601520918
32.7,-103.14,75.0,16,1,5.82,1601521011
71.92,114.08,28.62,95,82,2.3,1601521011
10.57,72.64,81.25,77,39,12.35,1601521011
40.16,-8.33,64.0,83,92,1.23,1601521011
